"","nombres","omega","alfa","beta","a","b"
"482","USAC",0.207121820200163,0.183281065243078,0.815718919021633,0.0271096214311737,0.686763068748823
"483","BRK-A",0.113075642443645,0.202353702341817,0.745216681376994,0.098238954982229,0.821836998635847
"484","BRK-B",0.123112811390963,0.221471997632694,0.728816076568621,0.0895232797739851,0.857078375362226
"485","JPM",0.256300960200997,0.24195303056429,0.715565808266968,0.0994971066027171,0.850640075503806
"486","V",0.135756459944841,0.125805532706046,0.841946502352064,0.0800488458386337,0.891824318484534
"487","JPM-PC",0.0331787083540363,0.184183141530694,0.727303137248192,0.0526994307047885,0.894453466370826
"488","JPM-PD",0.0363990813128311,0.261985620184698,0.644522982571303,0.0311570240038799,0.906147183154999
"489","BAC-PL",0.0571689118986635,0.355439869652913,0.607025618029646,0.0109611049906497,0.870385341747732
"490","BAC-PK",0.0262655078294127,0.252543507443868,0.660595763277997,0.0232772284458233,0.845732496342069
"491","BML-PL",0.0293816731826538,0.353953079861675,0.64503195157648,0.0356628655166589,0.857990635204754
"492","BAC-PE",0.0281563012175386,0.394102352539047,0.600659966226215,0.0151066520580798,0.956468387637161
"493","MA",0.230344823069057,0.143524675535493,0.82106797084369,0.0581287844702619,0.913629507928407
"494","WFC-PL",0.0559002893086395,0.263988371380541,0.735011627903523,0.0210974863414482,0.925586241007384
"495","BML-PG",0.0503752567636159,0.228275021249827,0.745327077150631,0.0141676415365346,0.708995326116785
"496","BAC",0.224999922080669,0.166161922740399,0.805116546550682,0.101605761432204,0.846514452558898
"497","BML-PH",0.0477366908465864,0.246275459130296,0.743493456448405,0.0287303532385929,0.836065516592548
"498","WFC-PR",0.0332365691567037,0.301904306863588,0.640462258962434,0.0187133092043247,0.894584950967307
"499","WFC-PY",0.0221723807033526,0.291562066405767,0.661516358735462,0.0699772219522744,0.760853188966966
"500","WFC-PQ",0.0403479985203469,0.253284506798833,0.669312081330783,0.0288042173849097,0.523497121063994
"501","PYPL",0.392530020607331,0.167641497366683,0.790403191285399,0.0743908745838962,0.898257866735825
"502","BAC-PB",0.0313559042663323,0.285487787305881,0.616259740657201,0.0563587296581696,0.691347001602411
"503","C-PJ",0.0277171742182377,0.309403445507766,0.678486041972176,0.0209968638767869,0.847070105615244
"504","WFC",0.328449561473701,0.153804505749896,0.81881875734323,0.106217253810841,0.84228802644347
"505","C",0.192707312502825,0.194128571323793,0.792953277449297,0.0919191284077432,0.883596242240176
"506","LFC",0.531716176971137,0.141346069567109,0.759231472106891,0.022039019358697,0.961260566814555
"507","MS",0.249854839558957,0.154551813758567,0.812280743016904,0.115841772513668,0.844954652685677
"508","RY",0.128577380431911,0.314803303713472,0.651382904029859,0.0856293023158899,0.783053935825883
"509","HDB",0.187212069780321,0.123065974073394,0.854602634565733,0.038855093704214,0.897679421187454
"510","HSBC",0.112760658406546,0.0927712782233361,0.8988752357944,0.0567115447686615,0.913120170334345
"511","BLK",0.330519255193694,0.243472137530256,0.68067823994665,0.134184252593643,0.568025209266542
"512","SCHW",0.572969769436267,0.190759829359969,0.727374946672485,0.109286959887698,0.766707565101787
"513","GS",0.311411893888145,0.151938745861277,0.785545159492622,0.0914438173019294,0.873013986099248
"514","TD",0.118118662200184,0.218823995849885,0.772817288446746,0.0988075495805152,0.776257381938002
"515","RY-PT",0.0291036912776491,0.117882054507514,0.88111794155388,0.0978993291623467,3.40987066376458e-06
"516","USB-PH",0.0176850424544518,0.209056276820011,0.789943692040019,0.0403348529450146,0.849220140650325
"517","AXP",0.415470774272584,0.260356912888169,0.71075285894861,0.0802520559943698,0.862269679591431
"518","MS-PK",0.0651057648206131,0.378063410028645,0.610592937688631,0.0648629100082589,0.816958044144903
"519","GS-PK",0.0464994627463245,0.237140255079795,0.696885494798046,0.0182765190379139,0.878209533719879
"520","MS-PI",0.099461351354713,0.253051405013298,0.630842489796162,0.0402708671088351,0.769765685834587
